CD03O030O 005228 VALMIR ASSUNÇÃO                         Sim       PT        Bahia                    218
CD03O030O 005228 WALDENOR PEREIRA                        Sim       PT        Bahia                    219
CD03O030O 005228 ZEZÉU RIBEIRO                           Sim       PT        Bahia                    217
CD03O030O 005228 ANTÔNIO ROBERTO                         Sim       PV        Minas Gerais             229
CD03O030O 005228 BERNARDO SANTANA DE VASCONCELLO         Sim       PR        Minas Gerais             221
CD03O030O 005228 BONIFÁCIO DE ANDRADA                    Sim       PSDB      Minas Gerais             534
CD03O030O 005228 DIEGO ANDRADE                           Sim       PSD       Minas Gerais             228
CD03O030O 005228 DIMAS FABIANO                           Sim       PP        Minas Gerais             231
CD03O030O 005228 DOMINGOS SÁVIO                          Sim       PSDB      Minas Gerais             233
CD03O030O 005228 DR. GRILO                               Sim       PSL       Minas Gerais             235
CD03O030O 005228 EDUARDO AZEREDO                         Sim       PSDB      Minas Gerais             237
CD03O030O 005228 EDUARDO BARBOSA                         Sim       PSDB      Minas Gerais             230
CD03O030O 005228 FÁBIO RAMALHO                           Sim       PV        Minas Gerais             238
CD03O030O 005228 GABRIEL GUIMARÃES                       Sim       PT        Minas Gerais             244
CD03O030O 005228 GEORGE HILTON                           Sim       PRB       Minas Gerais             241
CD03O030O 005228 GERALDO THADEU                          Sim       PSD       Minas Gerais             236
CD03O030O 005228 HUMBERTO SOUTO                          Sim       PPS       Minas Gerais             606
CD03O030O 005228 ISAIAS SILVESTRE                        Sim       PSB       Minas Gerais             604
CD03O030O 005228 JAIRO ATAIDE                            Sim       DEM       Minas Gerais             533
CD03O030O 005228 JÔ MORAES                               Sim       PCdoB     Minas Gerais             246
CD03O030O 005228 JOÃO BITTAR                             Sim       DEM       Minas Gerais             531
CD03O030O 005228 JOÃO MAGALHÃES                          Sim       PMDB      Minas Gerais             239
CD03O030O 005228 JOSÉ HUMBERTO                           Sim       PHS       Minas Gerais             249
CD03O030O 005228 JÚLIO DELGADO                           Sim       PSB       Minas Gerais             250
CD03O030O 005228 LINCOLN PORTELA                         Sim       PR        Minas Gerais             243
CD03O030O 005228 LUIS TIBÉ                               Sim       PTdoB     Minas Gerais             251
CD03O030O 005228 LUIZ FERNANDO FARIA                     Sim       PP        Minas Gerais             256
CD03O030O 005228 MARCOS MONTES                           Sim       PSD       Minas Gerais             257
CD03O030O 005228 MARCUS PESTANA                          Sim       PSDB      Minas Gerais             254
CD03O030O 005228 MARGARIDA SALOMÃO                       Sim       PT        Minas Gerais             610
CD03O030O 005228 MÁRIO HERINGER                          Sim       PDT       Minas Gerais             629
CD03O030O 005228 NILMÁRIO MIRANDA                        Sim       PT        Minas Gerais             611
CD03O030O 005228 ODAIR CUNHA                             Sim       PT        Minas Gerais             269
CD03O030O 005228 PADRE JOÃO                              Sim       PT        Minas Gerais             259
CD03O030O 005228 PAULO ABI-ACKEL                         Sim       PSDB      Minas Gerais             263
CD03O030O 005228 REGINALDO LOPES                         Sim       PT        Minas Gerais             272
CD03O030O 005228 RENATO ANDRADE                          Sim       PP        Minas Gerais             612
CD03O030O 005228 RENZO BRAZ                              Sim       PP        Minas Gerais             262
CD03O030O 005228 RODRIGO DE CASTRO                       Sim       PSDB      Minas Gerais             268
CD03O030O 005228 SARAIVA FELIPE                          Sim       PMDB      Minas Gerais             265
CD03O030O 005228 TONINHO PINHEIRO                        Sim       PP        Minas Gerais             264
CD03O030O 005228 VITOR PENIDO                            Sim       DEM       Minas Gerais             532
CD03O030O 005228 WELITON PRADO                           Sim       PT        Minas Gerais             270
CD03O030O 005228 CAMILO COLA                             Sim       PMDB      Espírito Santo           543
CD03O030O 005228 CESAR COLNAGO                           Sim       PSDB      Espírito Santo           276
CD03O030O 005228 DR. JORGE SILVA                         Sim       PDT       Espírito Santo           278
CD03O030O 005228 IRINY LOPES                             Não       PT        Espírito Santo           273
CD03O030O 005228 LAURIETE                                Sim       PSC       Espírito Santo           279
CD03O030O 005228 LELO COIMBRA                            Sim       PMDB      Espírito Santo           277
CD03O030O 005228 MANATO                                  Sim       PDT       Espírito Santo           275
