CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 DOMINGOS SÁVIO                          Sim       PSDB      Minas Gerais             233
CD03O038O 005235 DR. GRILO                               Sim       PSL       Minas Gerais             235
CD03O038O 005235 EDUARDO AZEREDO                         Sim       PSDB      Minas Gerais             237
CD03O038O 005235 EDUARDO BARBOSA                         Sim       PSDB      Minas Gerais             230
CD03O038O 005235 FÁBIO RAMALHO                           Sim       PV        Minas Gerais             238
CD03O038O 005235 GABRIEL GUIMARÃES                       Sim       PT        Minas Gerais             244
CD03O038O 005235 GEORGE HILTON                           Sim       PRB       Minas Gerais             241
CD03O038O 005235 GERALDO THADEU                          Sim       PSD       Minas Gerais             236
CD03O038O 005235 HUMBERTO SOUTO                          Sim       PPS       Minas Gerais             606
CD03O038O 005235 ISAIAS SILVESTRE                        Não       PSB       Minas Gerais             604
CD03O038O 005235 JAIME MARTINS                           Sim       PR        Minas Gerais             240
CD03O038O 005235 JAIRO ATAIDE                            Obstrução DEM       Minas Gerais             533
CD03O038O 005235 JÔ MORAES                               Sim       PCdoB     Minas Gerais             246
CD03O038O 005235 JOÃO BITTAR                             Obstrução DEM       Minas Gerais             531
CD03O038O 005235 JOÃO MAGALHÃES                          Sim       PMDB      Minas Gerais             239
CD03O038O 005235 JOSÉ HUMBERTO                           Sim       PHS       Minas Gerais             249
CD03O038O 005235 JÚLIO DELGADO                           Não       PSB       Minas Gerais             250
CD03O038O 005235 LEONARDO MONTEIRO                       Sim       PT        Minas Gerais             253
CD03O038O 005235 LEONARDO QUINTÃO                        Sim       PMDB      Minas Gerais             255
CD03O038O 005235 LINCOLN PORTELA                         Sim       PR        Minas Gerais             243
CD03O038O 005235 LUIS TIBÉ                               Sim       PTdoB     Minas Gerais             251
CD03O038O 005235 LUIZ FERNANDO FARIA                     Sim       PP        Minas Gerais             256
CD03O038O 005235 MARCOS MONTES                           Sim       PSD       Minas Gerais             257
CD03O038O 005235 MARCUS PESTANA                          Sim       PSDB      Minas Gerais             254
CD03O038O 005235 MARGARIDA SALOMÃO                       Sim       PT        Minas Gerais             610
CD03O038O 005235 MÁRIO HERINGER                          Sim       PDT       Minas Gerais             629
CD03O038O 005235 NEWTON CARDOSO                          Sim       PMDB      Minas Gerais             258
